med_type_old,drug_std,med_type,broad_cat,drug_class,label,who_status
,molnupiravir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),recommended
other antiviral,molnupiravir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),recommended
,monoclonal antibodies unknown/not on list,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,montelukast,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,montelukast,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
others,montelukast,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,montmorillonite,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,na-831,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,nadroparin,others,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,nadroparin,others,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
others,nafamostat mesylate,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,nafamostat mesylate,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,nafamostat mesylate,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,nafamostat mesylate,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,naltrexone,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,naltrexone,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
others,nanocurcumin,others,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,naproxen,nonspecific anti-inflammatory and immunosuppressive drugs,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
,naproxen,nonspecific anti-inflammatory and immunosuppressive drugs,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
others,nbt-nm108,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral antiretrovirals,nelfinavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
,niclosamide,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,niclosamide,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_addressed_trial_only
miscellaneous other,niclosamide,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_addressed_trial_only
,nicotine patch,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,nicotine patch,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,nintedanib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
kinase inhibitors,nintedanib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
antibiotics and antiparasitics,nitazoxanide,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Broad‑spectrum & host‑directed antivirals,Antiparasitics/Antibiotics,not_addressed_trial_only
,nitazoxanide,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Broad‑spectrum & host‑directed antivirals,Antiparasitics/Antibiotics,not_addressed_trial_only
miscellaneous other,nitric oxide,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,nitric oxide,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
others,nivasha spray,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,nonsteroidal anti-inflammatory drug,nonspecific anti-inflammatory and immunosuppressive drugs,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,nonsteroidal anti-inflammatory drug,nonspecific anti-inflammatory and immunosuppressive drugs,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
miscellaneous other,norelgesetromin,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,normal saline,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,normal saline,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,normal saline,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,noscapine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,noscapine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,nusepin,nonspecific anti-inflammatory and immunosuppressive drugs,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
monoclonal antibodies,olokizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,olokizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,om-85,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,omega-3,miscellaneous other,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
,omega-3,miscellaneous other,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
miscellaneous other,omeprazole,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,omeprazole,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
kinase inhibitors,opaganib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,opaganib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
antiviral broad spectrum,oseltamivir,antiviral broad spectrum,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,oseltamivir,antiviral broad spectrum,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,ot 101,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral broad spectrum,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral not specified,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antibiotics and antiparasitics,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral antiretrovirals,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
immunosuppressive drugs,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
monoclonal antibodies,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antimalarial,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
kinase inhibitors,other,antiviral broad spectrum,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,oxygen,,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,ozone,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,pamrevlumab,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,paracetamol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,paracetamol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,paracetamol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
monoclonal antibodies,pd-1 mab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
miscellaneous other,pentoxifylline,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,pentoxifylline,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,pf-06650833,,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
other antiviral,pf-07304814,other antiviral,Antivirals (direct acting),3CL protease inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,physiological saline,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,pinen hydronoplacton ribonucleic acid,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,pinen hydronoplacton ribonucleic acid,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,pioglitazone,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
miscellaneous other,pioglitazone,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
miscellaneous other,pirfenidone,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,pirfenidone,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,plitidepsin,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,polymerized type i collagen,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,polymerized type i collagen,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,polyoxidonium,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,poractant alfa,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,potassium channel blocker,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,povidone-iodine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,povidone-iodine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,povidone-iodine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,prednisolone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
nonspecific anti-inflammatory and immunosuppressive drugs,prednisolone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,prednisone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
nonspecific anti-inflammatory and immunosuppressive drugs,prednisone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
antimalarial,primaquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_addressed_trial_only
miscellaneous other,progesterone,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,progesterone,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,prolastin,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,prolectin-m,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,protease inhibitors unknown/not on list,,Antivirals (direct acting),3CL protease inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,provita capsule,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,prtx007,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,pyridostigmine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,pyridostigmine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,quetiapine,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
antiviral antiretrovirals,raltegravir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
miscellaneous other,ramipril,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,ramipril,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
other antiviral,ravidasvir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
monoclonal antibodies,ravulizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,recombinant human thrombopoietin,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,regadenoson,,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,regdanvimab ct-p59,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,reginmune capsule,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,regn10933,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,regn10987,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
,regn10987,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
antiviral antiretrovirals,remdesivir,antiviral antiretrovirals,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),recommended
,remdesivir,antiviral antiretrovirals,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),recommended
miscellaneous other,reparixin,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,reparixin,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,resp301,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,resveratrol / copper,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,revtx-99,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral broad spectrum,ribavirin,antiviral broad spectrum,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,ribavirin,antiviral broad spectrum,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
antiviral antiretrovirals,ritonavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_recommended
,ritonavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_recommended
,rivaroxaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,rivaroxaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
,rls-0071,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,rph-104,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
kinase inhibitors,ruxolitinib,kinase inhibitors,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),not_recommended
,s-217622 or pf-07817883,,Antivirals (direct acting),3CL protease inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,s-nitrosylation,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,sabizabulin,miscellaneous other,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,sabizabulin,miscellaneous other,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,salmeterol/fluticasone,,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
kinase inhibitors,sar443122,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,sargramostim,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,sargramostim,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,sargramostim,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
monoclonal antibodies,sarilumab,monoclonal antibodies,Immunotherapies (antibody based),IL‑6 receptor blockers,Immunotherapy (IL-6 blockers),recommended
monoclonal antibodies,scta01,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,scta01,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,selenium,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,selenium,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,selenium,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,selinexor,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,selinexor,others,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,sevoflurane,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,sildenafil,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
monoclonal antibodies,siltuximab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
antibiotics and antiparasitics,sirolimus,antibiotics and antiparasitics,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
immunosuppressive drugs,sirolimus,antibiotics and antiparasitics,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,sirolimus,antibiotics and antiparasitics,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,sitagliptin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
,sitagliptin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
,sodium bicarbonate,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,sodium chloride,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,sodium chloride,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,sodium valproate,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
other antiviral,sofusbovir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,sofusbovir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,solnatide,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,sotrovimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,sotrovimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,spironolactone,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,spironolactone,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,spl7013,,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,sulfamethoxazole,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,sulfamethoxazole,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
miscellaneous other,sulfonylureas,miscellaneous other,Metabolic / cardiometabolic agents,SGLT‑2 inhibitors,Metabolic agents (SGLT-2 inhibitors),not_addressed_trial_only
others,surfactant,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,surfactant,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,tacrolimus,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
immunosuppressive drugs,tacrolimus,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,tamoxifen,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
kinase inhibitors,td-0903,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,td139,miscellaneous other,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,telmisartan,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,telmisartan,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,tenecteplase,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
antiviral antiretrovirals,tenofovir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
,tenofovir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
,thalidomide,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
immunosuppressive drugs,thalidomide,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
